day,app,minutes,pickups
2025-06-15,Safari,27,10
2025-06-15,Mail,32,29
2025-06-15,Maps,127,17
2025-06-15,Photos,54,37
2025-06-15,Spotify,12,23
2025-06-15,Kindle,66,31
2025-06-16,Messages,144,21
2025-06-16,Safari,29,32
2025-06-16,Photos,125,6
2025-06-16,Spotify,89,20
2025-06-16,Kindle,45,2
2025-06-17,Messages,55,17
2025-06-17,Safari,13,32
2025-06-17,Mail,132,9
2025-06-17,Photos,14,31
2025-06-17,Spotify,95,38
2025-06-18,Mail,13,4
2025-06-18,Maps,113,40
2025-06-18,Photos,45,37
2025-06-18,Slack,124,27
2025-06-18,Kindle,82,35
2025-06-19,Safari,31,15
2025-06-19,Mail,142,31
2025-06-19,Maps,107,4
2025-06-19,Photos,70,16
2025-06-19,Kindle,98,19
2025-06-20,Messages,41,32
2025-06-20,Mail,52,7
2025-06-20,Kindle,131,26
2025-06-21,Messages,77,29
2025-06-21,Mail,2,28
2025-06-21,Maps,138,2
2025-06-21,Photos,112,3
2025-06-21,Slack,24,39
2025-06-21,Kindle,120,31
2025-06-22,Messages,15,34
2025-06-22,Safari,130,1
2025-06-22,Mail,138,8
2025-06-22,Maps,93,40
2025-06-22,Photos,92,5
2025-06-22,Spotify,82,21
2025-06-22,Kindle,21,32
2025-06-23,Messages,6,29
2025-06-23,Safari,59,3
2025-06-23,Mail,43,1
2025-06-23,Maps,12,19
2025-06-23,Photos,5,5
2025-06-23,Slack,139,38
2025-06-23,Spotify,64,40
2025-06-23,Kindle,39,6
2025-06-24,Messages,80,13
2025-06-24,Safari,87,28
2025-06-24,Maps,11,31
2025-06-24,Photos,86,7
2025-06-24,Slack,57,7
2025-06-24,Spotify,16,39
2025-06-24,Kindle,106,22
2025-06-25,Messages,145,20
2025-06-25,Safari,77,24
2025-06-25,Mail,83,28
2025-06-25,Maps,116,35
2025-06-25,Photos,106,39
2025-06-25,Spotify,87,31
2025-06-26,Messages,57,9
2025-06-26,Mail,54,33
2025-06-26,Maps,107,12
2025-06-26,Slack,121,16
2025-06-26,Spotify,60,13
2025-06-26,Kindle,40,33
2025-06-27,Safari,5,24
2025-06-27,Photos,25,31
2025-06-27,Slack,120,12
2025-06-27,Spotify,5,16
2025-06-28,Messages,62,22
2025-06-28,Safari,84,39
2025-06-28,Mail,76,23
2025-06-28,Maps,44,32
2025-06-28,Photos,37,9
2025-06-28,Spotify,134,36
2025-06-28,Kindle,78,32
2025-06-29,Safari,79,16
2025-06-29,Mail,55,29
2025-06-29,Photos,88,14
2025-06-29,Slack,144,15
2025-06-29,Spotify,131,28
2025-06-29,Kindle,33,20
